,alpha_1,alpha_2,alpha_3,from_vae
$:,1.991375207901001,1.0004688501358032,1.0081560611724854,True
%),1.7814507484436035,1.0921125411987305,1.126436710357666,True
%-),1.9875726699829102,1.0050076246261597,1.0074198246002197,True
&-:,1.799579381942749,1.1117432117462158,1.0886774063110352,True
&:,1.9193092584609985,1.0051178932189941,1.0755728483200073,True
( '}{' ),1.0000141859054565,1.9986554384231567,1.0013303756713867,True
(%,1.9482649564743042,1.0105772018432617,1.0411577224731445,True
('-:,1.0000643730163574,1.9973444938659668,1.0025912523269653,True
(':,1.0000214576721191,1.9991481304168701,1.0008304119110107,True
((-:,1.0000067949295044,1.999741792678833,1.0002515316009521,True
(*,1.0003206729888916,1.995957851409912,1.0037214756011963,True
(-%,1.911602258682251,1.0347671508789062,1.0536307096481323,True
(-*,1.0003403425216675,1.9941463470458984,1.005513310432434,True
(-:,1.0000256299972534,1.9966906309127808,1.0032836198806763,True
(-:0,1.0000683069229126,1.998134970664978,1.0017967224121094,True
(-:<,1.8618364334106445,1.0953491926193237,1.0428144931793213,True
(-:O,1.0000191926956177,1.9976651668548584,1.002315640449524,True
(-:o,1.0000191926956177,1.9976651668548584,1.002315640449524,True
(-:{,1.058834433555603,1.877774715423584,1.063390851020813,True
(-:|>*,1.0000195503234863,1.9995001554489136,1.0004802942276,True
(-;,1.000241994857788,1.9928983449935913,1.0068596601486206,True
(-;|,1.0000509023666382,1.998116374015808,1.0018327236175537,True
(8,1.0000665187835693,1.9979455471038818,1.0019879341125488,True
(:,1.0000643730163574,1.9973444938659668,1.0025912523269653,True
(:0,1.000098705291748,1.9975550174713135,1.0023462772369385,True
(:<,1.0246243476867676,1.9431183338165283,1.0322574377059937,True
(:O,1.0000410079956055,1.9979791641235352,1.001979947090149,True
(:o,1.0000410079956055,1.9979791641235352,1.001979947090149,True
(;,1.0004805326461792,1.9914090633392334,1.0081104040145874,True
(;<,1.0308202505111694,1.8630034923553467,1.1061763763427734,True
(=,1.0000643730163574,1.9973444938659668,1.0025912523269653,True
(?:,1.0000152587890625,1.9995230436325073,1.0004616975784302,True
(^:,1.0000191926956177,1.9976651668548584,1.002315640449524,True
(^;,1.000011920928955,1.9990206956863403,1.0009673833847046,True
(^;0,1.0000141859054565,1.9996123313903809,1.000373363494873,True
(^;o,1.000016450881958,1.9994056224822998,1.0005779266357422,True
(o:,1.0000256299972534,1.9966906309127808,1.0032836198806763,True
)':,1.9955997467041016,1.0006654262542725,1.0037347078323364,True
)-':,1.996410846710205,1.0005606412887573,1.0030285120010376,True
)-:,1.9953317642211914,1.000672698020935,1.003995656967163,True
)-:<,1.9968910217285156,1.0005148649215698,1.002594232559204,True
)-:{,1.9953317642211914,1.000672698020935,1.003995656967163,True
):,1.9953783750534058,1.0004541873931885,1.0041674375534058,True
):<,1.9948980808258057,1.0007039308547974,1.0043981075286865,True
):{,1.9961953163146973,1.000701665878296,1.0031030178070068,True
);<,1.9963207244873047,1.0008889436721802,1.0027903318405151,True
*),1.0009902715682983,1.9861814975738525,1.0128282308578491,True
*-),1.0065159797668457,1.9698877334594727,1.0235960483551025,True
*-:,1.0003454685211182,1.9969022274017334,1.0027521848678589,True
*-;,1.0010281801223755,1.9930224418640137,1.0059493780136108,True
*:,1.0000393390655518,1.997023105621338,1.0029375553131104,True
*<|:-),1.0002788305282593,1.9923185110092163,1.0074026584625244,True
*\0/*,1.0000592470169067,1.9975976943969727,1.0023430585861206,True
*^:,1.0002639293670654,1.9964227676391602,1.0033133029937744,True
",-:",1.0000321865081787,1.995427131652832,1.0045406818389893,True
---'-;-{@,1.0000938177108765,1.9987249374389648,1.0011812448501587,True
--<--<@,1.0001205205917358,1.9979915618896484,1.0018879175186157,True
.-:,1.9826656579971313,1.0005816221237183,1.0167527198791504,True
..###-:,1.9941341876983643,1.0005255937576294,1.005340337753296,True
..###:,1.9935628175735474,1.000666856765747,1.0057703256607056,True
/-:,1.9862184524536133,1.0005043745040894,1.0132769346237183,True
/:,1.9862679243087769,1.000626802444458,1.0131052732467651,True
/:<,1.9887226819992065,1.0006988048553467,1.0105785131454468,True
/=,1.9605116844177246,1.0023231506347656,1.0371652841567993,True
/^:,1.9650155305862427,1.002363681793213,1.0326207876205444,True
/o:,1.987565517425537,1.0014829635620117,1.0109513998031616,True
0-8,1.130063772201538,1.8148655891418457,1.0550705194473267,True
0-|,1.9826656579971313,1.0005816221237183,1.0167527198791504,True
0:),1.0000439882278442,1.999070644378662,1.0008853673934937,True
0:-),1.0000742673873901,1.9981005191802979,1.0018253326416016,True
0:-3,1.0000600814819336,1.9988048076629639,1.001135230064392,True
0:03,1.0001308917999268,1.9983419179916382,1.001527190208435,True
0;^),1.0000392198562622,1.9977962970733643,1.0021644830703735,True
